Ami apnader page e ei tap ta order diyechi. Plz same ei rokom tap e diben jate pipe  connection ta pichoner dike thake .plz,ম্যাম যেহেতু আপনি ঢাকার বাহিরে ডেলিভারি চার্জটা অগ্রিম দিতে হবে,,,,,
Koto din lagbe product ashte?,ম্যাম সাধারণত ঢাকার ভিতরে ১-২ দিন এবং বাহিরে ৪-৫ দিন সময় লাগে,,,,,
Number din,01797927168 বিকাশ পেমেন্ট অপশন থেকে পেমেন্ট করবেন,,,,,
,ম্যাম আপনার অর্ডারটি দেখলাম প্রসেসিং হচ্ছে,,,,,
Ekhon ki fee dite hobe?,,,,,,
Mobile e problem er karon apnar sms seen korte parini.,,,,,,
Ami ki delivery fee ta diye dibo?,mam cheak kore janassi aktu somoy diben,,,,,
Ji ektu taratari janaben plz.,mam 130 tk delivery charge ta payment koren,01797927168 বিকাশ পেমেন্ট অপশন থেকে পেমেন্ট করবেন,,,,
Send hoise. 2 dine delivery dite parben na?,ধন্যবাদ ম্যাম সাধারণত ঢাকার বাহিরে ৪-৫ দিন সময় লাগে ম্যাম,সেলারকে বলবো,,,,
Beshi deri hoye jabe na?,ম্যাম সেলারকে বলবো ফাস্ট ডেলিভারি দিতে,,,,,
Plz ektu dekhen na. Amar phone ta nosto hoye gechilo tai delivery fee ta dite deri hoye gelo. Plz ektu deikhen,ম্যাম আমি চেষ্টা করছি,,,,,
Thank you so much,Most welcome mam,,,,,
Hi,"আসসালামু-আলাইকুম স্যার, কোন বিষয়ে জানতে চাচ্ছিলেন?",,,,,
আপনাদের এখানে কাজ অথবা সিস্টেমটা কি,আপনার হোয়াটসঅ্যাপ নাম্বারটি দিবেন?,,,,,
1777316408,ওকে,,,,,
Customer Support Number ?,1612378255,,,,,
Amar akta power full vecum cleaner lagbe,https://www.bdstall.com/vacuum-cleaner-appliance/,"ম্যাম, লিংক থেকে দেখুন।",,,,
অর্ডার করবো কিভাবে ?,"অর্ডারের জন্য আপনার নাম, ঠিকানা এবং ফোন নাম্বার দিবেন ।
ডেলিভারির সময় চেক করে নিতে পারবেন।
হোম ডেলিভারি পাবেন, ঢাকা সিটির ভিতরে ফুল ক্যাশ অন ডেলিভারি এবং ঢাকার বাহিরে শুধুমাত্র ডেলিভারি চার্জটা অগ্রিম দিয়ে প্রোডাক্ট নিতে পারবেন, ধন্যবাদ।",,,,,
আচ্ছা  আমি অডারের করতে চাই,"স্যার, আপনি কোন প্রোডাক্টি অর্ডার করতে চাচ্ছেন জানতে পারি কি?",,,,,
"হুম। প্রোডাক্ট এর নাম বলেন অথবা, ছবি দেন?",আমি একটি মোবাইল ফোন অডার করতে চাচ্ছি,,,,,
মডেল বলেন,নুকিয়া 1110,https://www.bdstall.com/details/nokia-110-51212/,,,,
"I Will Sale my Car Self Hand Drive,Fresh Condition.
Toyota CHR-2017
G-LED 
Fully Loaded. Colour Maroon.
Full Fresh
Thank You.
Contact No-
01715-081517","স্যার, অনুগ্রহ করে অপেক্ষা করুন আমাদের একজন প্রতিনিধি আপনার সাথে যোগাযোগ করবে।",,,,,
Assalamu Alaikum,"Shahin Mia ,BDStall.com-এ আপনাকে স্বাগতম। আপনার মেসেজ এর জন্য ধন্যবাদ। খুব শীঘ্রই BDStall.com এর একজন প্রতিনিধি আপনার সাথে যোগাযোগ করবে। (যোগাযোগের সময় সকাল ১০ টা থেকে সন্ধ্যা ৬ টা) ।",,,,,
Mobile phn gula ki official,"স্যার, অর্ডার করুন অর্ডার কনফার্ম এর জন্য সেলার কল করলে তখন বিস্তারিত জেনে নিবেন।",,,,,
Mobile phn gula ki official??,used phone,,,,,
Warranty ase vai,"স্যার, অর্ডার করুন অর্ডার কনফার্ম এর জন্য সেলার কল করলে তখন বিস্তারিত জেনে নিবেন। পরে চাইলে ক্যানসেল করতে পারবেন।",,,,,
Apnader rangpur a ki Kono shop ache?,"স্যার, আপনি কোন প্রোডাক্টি অর্ডার করতে চাচ্ছেন জানতে পারি কি?",,,,,
Apnader branch kothay? Branch a giye nite chasci,কি প্রোডাক্ট নিতে চাচ্ছেন প্রোডাক্ট এর নাম ও প্রোডাক্ট মডেল বলুন।,,,,,
HP EliteBook 840 G5 Available right now?,https://www.bdstall.com/details/hp-elitebook-840-g5-core-i5-8th-gen-8gb-ram-256gb-ssd-16958/,"স্যার, লিংক থেকে যে কোন সেলারের সাথে যোগাযোগ করুন।",,,,
hello,"আসসালামু-আলাইকুম স্যার, কোন বিষয়ে জানতে চাচ্ছিলেন?",,,,,
রাইস কুকার গুলা কোন ব্র্যান্ডের,https://www.bdstall.com/rice-cooker/,"ম্যাম, লিংক থেকে দেখুন।",,,,
Hai,"মিঠুন চন্দ্র বর্মন ,BDStall.com-এ আপনাকে স্বাগতম। আপনার মেসেজ এর জন্য ধন্যবাদ। খুব শীঘ্রই BDStall.com এর একজন প্রতিনিধি আপনার সাথে যোগাযোগ করবে। (যোগাযোগের সময় সকাল ১০ টা থেকে সন্ধ্যা ৬ টা) ।",,,,,
PV 100 ভিডিও ক্যামেরা দাম কত,"স্যার, এই মুহূর্তে প্রোডাক্টি স্টকে নেই।",,,,,
দামটা বলা যাবে,"105,000",,,,,
"সনি A7 ক্যামেরা দাম কত
সনি 6600 ক্যামেরা দাম কত",https://www.bdstall.com/details/sony-alpha-a7-iii-mirrorless-camera-51204/,https://www.bdstall.com/mirrorless-camera/,লিংক থেকে দেখুন।,,,
এ দুটো ক্যামেরা স্টকে আসছে আপনাদের,"স্যার, বিস্তারিত জানতে অনুগ্রহ করে আমাদের শোরুমে যোগাযোগ করুন, ধন্যবাদ

01303131101  -WhatsApp",,,,,
"আসসালামু আলাইকুম ম্যাম!
আপনার সাথে যোগাযোগ এর কন্টাক্ট নাম্বার টি দিবেন। আমাদের প্রতিনিধি খুব শীঘ্রই আপনার সাথে যোগাযোগ করবেন।",নারায়ণগঞ্জ ফতুল্লা স্টেডিয়াম বুড়ির  ক্যারেজ সংলগ্ন ১ শতাংশ ১৪ পয়েন্ট জায়গা বিক্রি করা হবে মালিক নিজে যোগাযোগ ইনবক্স প্লিজ,1682319638,"ম্যাম, অনুগ্রহ করে অপেক্ষা করুন আমাদের একজন প্রতিনিধি আপনার সাথে যোগাযোগ করবে।",,,
"স্যার, গাড়ি বিক্রি করতে চাইলে আপনার কন্টাক্ট নাম্বারটি দিবেন?",1711057187,"স্যার, অনুগ্রহ করে অপেক্ষা করুন আমাদের একজন প্রতিনিধি আপনার সাথে যোগাযোগ করবে।",,,,
https://www.bdstall.com/details/nokia-216-dual-sim-gsm-16mb-ram-classic-mobile-phone-31774/  do you have this phone?,জি স্যার আমাদের কাছে বর্তমােনে এই ফোনটি আছে,,,,,
eta ki original and new?,স্যার এটা নতুন তবে মাস্টার কপি,,,,,
apnader kachay ki kono demo achay?,স্যার এগুলো মাস্টার কপি হলেও মুটামুটি ভালো সার্ভিস দেয়,,,,,
"software ki same orginal er moto?
and speaker?
amar baba er jonno nibo actually
uni ai phone bad a baki kono phone e use kortay paray na
tai akdom exactly omon e lagbay
and uni kan ao kom sunay
tai speaker ta o onnak important ai khan a
tai aktu confirm houar jonno
Shahadat Anik
cuz orginal ta hoilay tw ar tension kor lagtw na",স্যার আমি আপেনাকে একটা কথা বলি এই সময়ে নোকিয়া ব্রেন্ড্রের কোন অজির্নাল ফোন নাই ।ম আপনি  আগে যেটা চালিয়েছেন সেটাও মাস্টার কপি ছিলো,,,,,
oh,জি স্যার,,,,,
ai phone ta ki available achay?,"জ্বি জ্বি স্যার।
ওয়েবসাইট থেকে অর্ডার প্লেস করুন।স্যারা",,,,,
"amar ajker modday delivery lagbay
possible?","অর্ডার প্লেস করে মেসেজ করুন
সেলারের নাম্বার দিচ্ছি",,,,,
order no: 17680195841,"01816622877, 01630111180",,,,,
ami call dibo?,জ্বি স্যার।,,,,,
call dhoray na,হোয়াটসঅ্যাপ করে রাখুন,"অথবা, অপেক্ষা করুন সেলার আপনাকে কল করবে।",,,,
"স্যার, আপনি প্রোডাক্ট সেল করতে চাইলে আপনার কন্টাক্ট নাম্বারটি দিবেন",বিস্তারিত বিবরণ দেন,,,,,
আপনার কোন ক্যাটাগড়ির প্রোডাক্ট ?,পেটস এক্সেসারিজ,"নেই স্যার, আমাদের কাছে।",,,,
SQ11 মিনি ক্যামেরাটা লাগবে,https://www.bdstall.com/details/mini-night-vision-spy-camera-sq11-47106/,,,,,
"স্যার, অর্ডারের জন্য আপনার নাম, ঠিকানা এবং ফোন নাম্বার দিবেন অথবা ওয়েবসাইট থেকে অর্ডার করুন ডেলিভারির সময় চেক করে নিতে পারবেন। হোম ডেলিভারি পাবেন, ঢাকা সিটির ভিতরে ফুল ক্যাশ অন ডেলিভারি এবং ঢাকার বাহিরে শুধুমাত্র ডেলিভারি চার্জটা অগ্রিম দিয়ে প্রোডাক্ট নিতে পারবেন, ধন্যবাদ।","রাসেল
গাজীপুর, কাশেমপুর,সুলতান মার্কেট
01606098161",,,,,
কই আপনাদের সেলার তো ফোন দেয় না,"স্যার, এই নাম্বারে যোগাযোগ করুন- 01611288488, 01915537928",,,,,
"স্যার, গাড়ি বিক্রি করতে চাইলে আপনার কন্টাক্ট নাম্বারটি দিবেন?",1777688259,"স্যার, অনুগ্রহ করে অপেক্ষা করুন আমাদের একজন প্রতিনিধি আপনার সাথে যোগাযোগ করবে।",,,,
আমার একটি হেডফোনের দরকার এই হেডফোনটা অর্ডার করতে চাই,"স্যার, এই মুহূর্তে প্রোডাক্টি স্টকে নেই।",,,,,
hello bro pls cancelmy order like i order defrend item 01752947102 [Numbor],,,,,,
amar akti 1250 takar rice cocker chilo oita cancel koray akta electric chula nibo aijonno,,,,,,
Customer Support Number ?,1612378255,"স্যার, আপনার প্রোডাক্ট অলরেডি পাঠানো হয়েছে।",,,, 
Hi bdstall.com! আমি ক্যামেরা নিতে চাই,"ম্যাম, কোন মডেলটি নিতে চাচ্ছেন?",,,,,
4k ultra action camera আছে কি,https://www.bdstall.com/action-camera/,"স্যার, লিংক থেকে দেখুন।",,,,
hlw,"আসসাালামু-আলাইকুম স্যার, কোন বিষয়ে জানতে চাচ্ছিলেন?",,,,,
ami korbo sony 6700 sigma 30 mm lens,https://www.bdstall.com/camera-lens/,"স্যার, লিংক থেকে দেখুন।",,,,
আমি ক্যামেরা বিক্রি করতে চাই মডেল sony 6700 lens 30 mm sigma,"স্যার, আপনার কন্টাক্ট নাম্বারটি দিবেন?",,,,,
1930463512,"স্যার, অনুগ্রহ করে অপেক্ষা করুন আমাদের একজন প্রতিনিধি আপনার সাথে যোগাযোগ করবে।",,,,,
আসসালামু আলাইকুম  HP SSD S700 M.2 120GB SATA 6GB/s Internal Solid State Drive এটা আপনাদের স্টকে আছে?,"স্যার, এই মুহূর্তে প্রোডাক্টি স্টকে নেই।",,,,,
Hey 👋,"আসসালামু-আলাইকুম ম্যাম, কোন বিষয়ে জানতে চাচ্ছিলেন?",,,,,
"ল্যাপটপ 
পিসি",https://www.bdstall.com/laptop/,"ম্যাম, লিংক থেকে দেখুন।",,,,
এগুলা কি নতুন,না ব্যবহৃত,,,,,
সব ই ব্যবহ্নত,জ্বি ম্যাম,,,,,
আপনাদের ডেলিভারি প্রোসেস কিরকম? এটি কি আপনাদের নিজস্ব প্লাটফর্ম,কুরিয়ারে ডেলিভারি করা হয়,,,,,
Cash on delivery?,ডেলিভারি চার্জ অগ্রিম দিতে হয়,,,,,
বাজেট ফ্রেন্ডলি ল্যাপটপ হবে? ,"ম্যাম, বিস্তারিত জানতে অনুগ্রহ করে আমাদের শোরুমে যোগাযোগ করুন, ধন্যবাদ

01780368723  -WhatsApp

01780368724",,,,,
শোরুম কই,"Shop # 32, 44 Level # 6, Block # D Bashundhara City Shopping Mall",,,,,
"Oppo reno 6 pro plus
Ace",জ্বি স্যার,,,,,
রিপালশিলড কি এটি,"না স্যার, ব্যবহৃত",,,,,
kibabe order korbo,"অর্ডারের জন্য আপনার নাম, ঠিকানা এবং ফোন নাম্বার দিবেন ।
ডেলিভারির সময় চেক করে নিতে পারবেন।
হোম ডেলিভারি পাবেন, ঢাকা সিটির ভিতরে ফুল ক্যাশ অন ডেলিভারি এবং ঢাকার বাহিরে শুধুমাত্র ডেলিভারি চার্জটা অগ্রিম দিয়ে প্রোডাক্ট নিতে পারবেন, ধন্যবাদ।",,,,,
kivabe order korbo,"অর্ডারের জন্য আপনার নাম, ঠিকানা এবং ফোন নাম্বার দিবেন ।
ডেলিভারির সময় চেক করে নিতে পারবেন।
হোম ডেলিভারি পাবেন, ঢাকা সিটির ভিতরে ফুল ক্যাশ অন ডেলিভারি এবং ঢাকার বাহিরে শুধুমাত্র ডেলিভারি চার্জটা অগ্রিম দিয়ে প্রোডাক্ট নিতে পারবেন, ধন্যবাদ।",,,,,
kemne order korbo,"অর্ডারের জন্য আপনার নাম, ঠিকানা এবং ফোন নাম্বার দিবেন ।
ডেলিভারির সময় চেক করে নিতে পারবেন।
হোম ডেলিভারি পাবেন, ঢাকা সিটির ভিতরে ফুল ক্যাশ অন ডেলিভারি এবং ঢাকার বাহিরে শুধুমাত্র ডেলিভারি চার্জটা অগ্রিম দিয়ে প্রোডাক্ট নিতে পারবেন, ধন্যবাদ।",,,,,
order kivabe dibo,"অর্ডারের জন্য আপনার নাম, ঠিকানা এবং ফোন নাম্বার দিবেন ।
ডেলিভারির সময় চেক করে নিতে পারবেন।
হোম ডেলিভারি পাবেন, ঢাকা সিটির ভিতরে ফুল ক্যাশ অন ডেলিভারি এবং ঢাকার বাহিরে শুধুমাত্র ডেলিভারি চার্জটা অগ্রিম দিয়ে প্রোডাক্ট নিতে পারবেন, ধন্যবাদ।",,,,,
koy din er modde delivery hoy,ঢাকার ভিতরে ১-২ দিন এবং ঢাকার বাহিরে ৪-৫ দিন সময় লাগে।,,,,,
koto din delivery lagbe,ঢাকার ভিতরে ১-২ দিন এবং ঢাকার বাহিরে ৪-৫ দিন সময় লাগে।,,,,,
koy din por delivery ashbe,ঢাকার ভিতরে ১-২ দিন এবং ঢাকার বাহিরে ৪-৫ দিন সময় লাগে।,,,,,
delivery koto din lagbe,ঢাকার ভিতরে ১-২ দিন এবং ঢাকার বাহিরে ৪-৫ দিন সময় লাগে।,,,,,
delivery time koto,ঢাকার ভিতরে ১-২ দিন এবং ঢাকার বাহিরে ৪-৫ দিন সময় লাগে।,,,,,
